pattern = The tyrant will always find a pretext for his tyranny.





THE LIST OF DOCUMENTS BASED ON RANK
Relevance score    RANK          TALE      
Relevance score 83  1   The Vain Jackdaw 
 

Relevance score 53  2   The Bear and the Fox 
 

Relevance score 50  3   The Doe and the Lion 
 

Relevance score 50  4   The Lion in Love 
 

Relevance score 50  5   Truth and the Traveler 
 

Relevance score 50  6   The Father and His Sons 
 

Relevance score 48  7   The Hawk and the Nightingale 
 

Relevance score 48  8   The Horse and Groom 
 

Relevance score 48  9   The Boy Bathing 
 

Relevance score 48  10   The Brother and the Sister 
 

Relevance score 48  11   The Geese and the Cranes 
 

Relevance score 48  12   The Lion and the Boar 
 

Relevance score 46  13   The Mule 
 

Relevance score 46  14   The Frogs Asking for a King 
 

Relevance score 46  15   The Milk-Woman and Her Pail 
 

Relevance score 44  16   The Father and His Two Daughters 
 

Relevance score 44  17   The Eagle and His Captor 
 

Relevance score 44  18   The Boys and the Frogs 
 

Relevance score 44  19   The Ants and the Grasshopper 
 

Relevance score 44  20   The Lamp 
 

Relevance score 44  21   The Fowler and the Viper 
 

Relevance score 44  22   The Cat and the Mice 
 

Relevance score 44  23   The Swollen Fox 
 

Relevance score 42  24   The Wolf and the Lamb 
 

Relevance score 42  25   The Fox Who Had Lost His Tail 
 

Relevance score 42  26   The Wolf and the Housedog 
 

Relevance score 42  27   The Man and His Two Sweethearts 
 

Relevance score 42  28   The Bowman and Lion 
 

Relevance score 42  29   The Lion and the Hare 
 

Relevance score 42  30   The Goatherd and the Wild Goats 
 

Relevance score 42  31   The Mice and the Weasels 
 

Relevance score 42  32   The Wolf, the Fox, and the Ape 
 

Relevance score 40  33   Jupiter and the Monkey 
 

Relevance score 40  34   The Bear and the Two Travelers 
 

Relevance score 40  35   The Man and His Wife 
 

Relevance score 40  36   The Bull and the Calf 
 

Relevance score 40  37   The Dog and the Hare 
 

Relevance score 40  38   The Widow and Her Little Maidens 
 

Relevance score 40  39   The Ass in the Lion's Skin 
 

Relevance score 40  40   The Man and the Lion 
 

Relevance score 40  41   The Flies and the Honey-Pot 
 

Relevance score 40  42   The Ass and the Frogs 
 

Relevance score 40  43   The Oxen and the Axle-Trees 
 

Relevance score 40  44   The Brazier and His Dog 
 

Relevance score 40  45   The Hares and the Foxes 
 

